"","Investor","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Earlybird Venture Capital","Number26","2,000,000","seed","2014-06-19","Details",""
"2","Axel Springer Plug and Play Accelerator","Yeppt","25,000","seed","2014-03-24","Details",""
"3","Redalpine Venture Partners","Number26","2,000,000","seed","2014-06-19","Details",""
"4","Axel Springer Plug and Play Accelerator","ReTravel","25,000","seed","2015-03-11","Details",""
"5","Axel Springer Plug and Play Accelerator","Enso","25,000","seed","2015-07-01","Details",""
"6","Axel Springer Plug and Play Accelerator","Rentse","25,000","seed","2015-08-11","Details",""
"7","Gary Lin","Massagio","1,000,000","seed","2016-09-19","Details",""
"8","Saeed Amidi","Jobspotting","500,000","seed","2014-07-30","Details","Exited"
"9","MÃ¼ller Medien","Massagio","1,000,000","seed","2016-09-19","Details",""
"10","Matthias Hilpert","Massagio","","angel","2015-07-01","Details",""
"11","Matthias Hilpert","Massagio","1,000,000","seed","2016-09-19","Details",""
"12","Axel Springer Plug and Play Accelerator","Massagio","","angel","2015-07-01","Details",""
"13","Axel Springer Plug and Play Accelerator","Careship","","seed","2016-03-30","Details",""
"14","Haak & Compagnie","Asuum","700,000","seed","2013-10-01","Details",""
"15","Axel Springer Plug and Play Accelerator","Classiqs","25,000","seed","2013-05-01","Details",""
"16","Horizons Ventures","Jobspotting","","seed","2015-04-30","Details","Exited"
"17","Horizons Ventures","Jobspotting","25,000","seed","2013-10-01","Details","Exited"
"18","FastForward Innovations","SatoshiPay","200,000","seed","2016-01-25","Details",""
"19","Sebastian Herfurth","Dentolo","","seed","2016-03-01","Details",""
"20","Eleven","Enso","50,000","convertible_note","2015-12-01","Details",""
"21","FastForward Innovations","SatoshiPay","160,000","seed","2015-09-21","Details",""
"22","Robin Haak","TickTickTickets","25,000","seed","2013-05-01","Details",""
"23","Atlantic Labs","Dentolo","","seed","2016-03-01","Details",""
"24","Coinsilium Group","SatoshiPay","200,000","seed","2016-01-25","Details",""
"25","Axel Springer Plug and Play Accelerator","Massagio","1,000,000","seed","2016-09-19","Details",""
"26","DvH Ventures","Classiqs","","venture","2014-11-01","Details",""
"27","Axel Springer Plug and Play Accelerator","Stunn","25,000","seed","2014-05-01","Details",""
"28","RAA Ventures","Socius","400,000","seed","2016-08-08","Details",""
"29","Valar Ventures","Number26","10,000,000","venture","2015-04-16","Details",""
"30","Kodiak Capital","DermaCompare","1,000,000","undisclosed","2016-05-23","Details",""
"31","Axel Springer Plug and Play Accelerator","PeerAce","25,000","seed","2015-08-11","Details",""
"32","Axel Springer Plug and Play Accelerator","Asuum","25,000","seed","2013-05-16","Details",""
"33","Axel Springer Plug and Play Accelerator","Socius","","seed","2013-10-01","Details",""
"34","Axel Springer Plug and Play Accelerator","Truffls","25,000","seed","2014-05-01","Details",""
"35","Axel Springer Plug and Play Accelerator","Number26","2,000,000","seed","2014-06-19","Details",""
"36","SevenVentures","Get2play","25,000","seed","2013-06-13","Details",""
"37","Axel Springer Plug and Play Accelerator","Massagio","","seed","2015-03-01","Details",""
"38","Axel Springer Plug and Play Accelerator","SatoshiPay","50,000","angel","2014-10-27","Details",""
"39","Henning Peters","SatoshiPay","50,000","angel","2014-10-27","Details",""
"40","Blue Star Capital","SatoshiPay","700,000","venture","2017-01-17","Details",""
"41","Axel Springer Plug and Play Accelerator","Jobspotting","25,000","seed","2013-10-01","Details","Exited"
"42","Axel Springer Plug and Play Accelerator","Jobspotting","500,000","seed","2014-07-30","Details","Exited"
"43","Axel Springer Plug and Play Accelerator","MiloNetworks","25,000","seed","2014-05-01","Details",""
"44","yabeo capital","Dentolo","3,000,000","seed","2017-07-26","Details",""
"45","IBB Beteiligungsgesellschaft","Dentolo","3,000,000","seed","2017-07-26","Details",""
"46","Axel Springer Plug and Play Accelerator","Dentolo","3,000,000","seed","2017-07-26","Details",""
"47","Atlantic Labs","Dentolo","3,000,000","seed","2017-07-26","Details",""
"48","Grazia Equity","room.me","1,100,000","seed","2015-07-15","Details","Exited"
"49","Axel Springer","Embraase","600,000","venture","2014-05-20","Details",""
"50","Axel Springer Plug and Play Accelerator","Vintagehub / Styleup","25,000","seed","2013-10-01","Details",""
"51","Axel Springer Plug and Play Accelerator","Careship","","angel","2015-08-01","Details",""
"52","Axel Springer Plug and Play Accelerator","blogfoster","25,000","seed","2013-10-01","Details",""
"53","Axel Springer Plug and Play Accelerator","TickTickTickets","25,000","seed","2013-05-01","Details",""
"54","Axel Springer Plug and Play Accelerator","Get2play","25,000","seed","2013-06-13","Details",""
"55","Axel Springer Plug and Play Accelerator","Enso","20,000","seed","2015-09-01","Details",""
"56","Axel Springer Plug and Play Accelerator","Instaff","25,000","seed","2014-05-01","Details",""
"57","Daniel S. Aegerter","Number26","10,000,000","venture","2015-04-16","Details",""
"58","Axel Springer Plug and Play Accelerator","Embraase","25,000","seed","2013-10-01","Details",""
"59","High-Tech Gruenderfonds","Embraase","600,000","venture","2014-05-20","Details",""
"60","Trinity Ventures","Dataspin","110,000","seed","2012-06-01","Details",""
"61","Axel Springer Plug and Play Accelerator","Autumn.ai","27,430","seed","2015-08-03","Details",""
"62","Business Angel Pool","room.me","1,100,000","seed","2015-07-15","Details","Exited"
"63","Axel Springer Plug and Play Accelerator","Orat.io","25,000","seed","2014-05-01","Details",""
"64","Spark Capital","Careship","4,000,000","venture","2017-01-24","Details",""
"65","Monkfish Equity","Massagio","1,000,000","seed","2016-09-19","Details",""
"66","500 Startups","Socius","380,000","seed","2016-03-06","Details",""
"67","Andre Alpar","Asuum","700,000","seed","2013-10-01","Details",""
"68","500 Startups","Socius","400,000","seed","2016-08-08","Details",""
"69","Haak & Compagnie","TickTickTickets","25,000","seed","2013-05-01","Details",""
"70","Axel Springer Plug and Play Accelerator","CrossCloud","25,000","seed","2014-12-01","Details",""
"71","Atlantic Labs","Careship","","seed","2016-03-30","Details",""
"72","Wadi Ventures","Adincon","","seed","2014-07-02","Details","Dead"
"73","Philipp Kloeckner","Massagio","","angel","2015-07-01","Details",""
"74","Eleven","Enso","25,000","seed","2015-07-01","Details",""
"75","Cherry Ventures","Vicomi","900,000","seed","2015-02-01","Details",""
"76","Axel Springer","Vicomi","900,000","seed","2015-02-01","Details",""
"77","Axel Springer Plug and Play Accelerator","halfBake","25,000","seed","2015-03-11","Details",""
"78","Axel Springer Plug and Play Accelerator","Coyno","2,500","seed","2014-11-27","Details","Dead"
"79","Axel Springer Plug and Play Accelerator","1o1Media","","seed","2013-10-01","Details",""
"80","Axel Springer Plug and Play Accelerator","Number26","25,000","seed","2013-05-01","Details",""
"81","Earlybird","Number26","10,000,000","venture","2015-04-16","Details",""
"82","Axel Springer Plug and Play Accelerator","Adincon","25,000","seed","2014-05-01","Details","Dead"
"83","Keyrus","Vicomi","900,000","seed","2015-02-01","Details",""
"84","Redalpine Venture Partners","Number26","10,000,000","venture","2015-04-16","Details",""
